,adresses,lat,long
323,2710 New South Wales Australia,-35.247342,144.9611836
324,2213 New South Wales Australia,-33.9519315,150.9947439
325,2630 New South Wales Australia,-36.3150116,149.1960526
326,3000 Victoria Australia,-37.8152065,144.963937
327,2330 New South Wales Australia,-32.7319195,150.8609358
328,3163 Victoria Australia,-37.8950779,145.0548502
329,2324 New South Wales Australia,-32.6400424,151.9111422
330,2290 New South Wales Australia,-32.9754667,151.712257
331,2536 New South Wales Australia,-35.6491178,150.0722053
332,3084 Victoria Australia,-37.7436031,145.0769045
333,3166 Victoria Australia,-37.9006677,145.0989646
334,3756 Victoria Australia,-37.40715489999999,144.9832134
335,3222 Victoria Australia,-38.2049453,144.5875645
336,4115 Queensland Australia,-27.6113884,153.0336149
337,2208 New South Wales Australia,-33.9379361,151.0995447
338,2541 New South Wales Australia,-34.8772295,150.5936766
339,2192 New South Wales Australia,-33.9178204,151.0908086
340,4868 Queensland Australia,-16.9678678,145.7464633
341,2224 New South Wales Australia,-34.0094315,151.0995447
342,3280 Victoria Australia,-38.3603292,142.4678659
343,3162 Victoria Australia,-37.8932076,145.0217795
344,2043 New South Wales Australia,-33.90236489999999,151.1854757
345,2280 New South Wales Australia,-33.0223311,151.6713386
346,3219 Victoria Australia,-38.176358,144.3849841
347,2515 New South Wales Australia,-34.295339,150.933643
348,4075 Queensland Australia,-27.5443032,152.9823847
349,3186 Victoria Australia,-37.9044002,144.9997396
350,3564 Victoria Australia,-36.1149809,144.6314321
351,4121 Queensland Australia,-27.5223127,153.0589533
352,2539 New South Wales Australia,-35.3536829,150.2342337
353,4170 Queensland Australia,-27.4620175,153.0750052
354,3072 Victoria Australia,-37.7399362,145.0107588
355,2762 New South Wales Australia,-33.7044482,150.8667511
356,2484 New South Wales Australia,-28.3541283,153.3446649
357,3380 Victoria Australia,-37.05177690000001,142.7777088
358,4069 Queensland Australia,-27.5020161,152.8970569
359,2282 New South Wales Australia,-32.9648241,151.6479611
360,4074 Queensland Australia,-27.5569601,152.9264759
361,2460 New South Wales Australia,-29.6427683,152.7323884
362,2141 New South Wales Australia,-33.8719405,151.0413133
363,3931 Victoria Australia,-38.2277083,145.0603633
364,3165 Victoria Australia,-37.9174873,145.0658766
365,2037 New South Wales Australia,-33.8802599,151.1840188
366,3340 Victoria Australia,-37.7356162,144.4123303
367,3075 Victoria Australia,-37.6650543,145.0107588
368,3057 Victoria Australia,-37.769412,144.9804594
369,3444 Victoria Australia,-37.1335012,144.5656396
370,4352 Queensland Australia,-27.4595003,151.9470976
371,2326 New South Wales Australia,-32.787791,151.4552213
372,4020 Queensland Australia,-27.2171518,153.1060212
373,2064 New South Wales Australia,-33.8086312,151.1840188
374,2576 New South Wales Australia,-34.5304441,150.4660289
375,3802 Victoria Australia,-37.9780214,145.2590707
376,2477 New South Wales Australia,-28.9094612,153.4154233
377,2062 New South Wales Australia,-33.8228068,151.2146155
378,4018 Queensland Australia,-27.3428542,153.0441933
379,4720 Queensland Australia,-24.0139022,147.5532762
380,2298 New South Wales Australia,-32.9025199,151.7210265
381,2680 New South Wales Australia,-34.394413,145.9358581
382,2158 New South Wales Australia,-33.6914284,151.0354914
383,2038 New South Wales Australia,-33.8824062,151.1723645
384,2486 New South Wales Australia,-28.2187657,153.4744054
385,2087 New South Wales Australia,-33.773259,151.2160726
386,2262 New South Wales Australia,-33.2075583,151.5428026
387,4280 Queensland Australia,-27.835059,153.0383059
388,4173 Queensland Australia,-27.4718491,153.1295793
389,2046 New South Wales Australia,-33.8566687,151.1315813
390,4815 Queensland Australia,-19.3884456,146.7244769
391,3179 Victoria Australia,-37.9042587,145.220397
392,2508 New South Wales Australia,-34.2055707,150.9307341
393,2565 New South Wales Australia,-33.9909712,150.8493059
394,2114 New South Wales Australia,-33.8089747,151.0849848
395,2299 New South Wales Australia,-32.9085765,151.7034879
396,2007 New South Wales Australia,-33.8823187,151.197131
397,3032 Victoria Australia,-37.7773364,144.9006313
398,4124 Queensland Australia,-27.7420185,152.946986
399,4223 Queensland Australia,-28.1700418,153.4341362
400,2061 New South Wales Australia,-33.8483957,151.2146155
401,2221 New South Wales Australia,-33.9919897,151.1111936
402,3356 Victoria Australia,-37.5881949,143.8183092
403,3995 Victoria Australia,-38.6238593,145.6023644
404,4122 Queensland Australia,-27.5480097,153.0912986
405,3133 Victoria Australia,-37.8500602,145.1983055
406,3216 Victoria Australia,-38.1747227,144.3139277
407,2049 New South Wales Australia,-33.8932918,151.1548847
408,4160 Queensland Australia,-27.4869721,153.2390188
409,4208 Queensland Australia,-27.7674471,153.2857165
410,2289 New South Wales Australia,-32.9481404,151.7064109
411,2131 New South Wales Australia,-33.8904917,151.1254852
412,2035 New South Wales Australia,-33.942927,151.2393885
413,3631 Victoria Australia,-36.4324574,145.4693163
414,2229 New South Wales Australia,-34.0460194,151.1228434
415,2020 New South Wales Australia,-31.2532183,146.921099
416,2325 New South Wales Australia,-32.9380528,151.1869325
417,2048 New South Wales Australia,-33.8920561,151.165081
418,2107 New South Wales Australia,-33.6357749,151.321021
419,2060 New South Wales Australia,-33.8401473,151.20733
420,2481 New South Wales Australia,-28.6283277,153.568808
421,3975 Victoria Australia,-38.0704681,145.2424941
422,2452 New South Wales Australia,-30.3581041,153.0912986
423,4022 Queensland Australia,-27.2144286,153.0527075
424,2478 New South Wales Australia,-28.8529354,153.5570056
425,2380 New South Wales Australia,-30.9361952,150.1647697
426,3039 Victoria Australia,-37.7675363,144.9198932
427,4814 Queensland Australia,-19.2878252,146.7552341
428,2283 New South Wales Australia,-33.050132,151.5953736
429,4011 Queensland Australia,-27.4191871,153.0589126
430,3850 Victoria Australia,-38.096577,147.0675028
431,3223 Victoria Australia,-38.1610488,144.6753231
432,3031 Victoria Australia,-37.790896,144.9198932
433,4878 Queensland Australia,-16.8314187,145.6908596
434,2179 New South Wales Australia,-33.9549525,150.8086082
435,3079 Victoria Australia,-37.7698427,145.0438252
436,3228 Victoria Australia,-38.3419249,144.2374759
437,4568 Queensland Australia,-26.3629933,152.8559985
438,2156 New South Wales Australia,-33.6530868,150.9656452
439,2209 New South Wales Australia,-33.9454921,151.0791612
440,2264 New South Wales Australia,-33.1186851,151.4552213
441,4340 Queensland Australia,-27.7418746,152.4973826
442,2470 New South Wales Australia,-28.878424,152.9676695
443,2758 New South Wales Australia,-33.5114239,150.535641
444,4157 Queensland Australia,-27.5819961,153.1979543
445,3400 Victoria Australia,-36.7204107,142.1806128
446,3095 Victoria Australia,-37.7049998,145.1706992
447,3034 Victoria Australia,-37.7628247,144.8648709
448,3750 Victoria Australia,-37.5891893,144.9942305
449,4171 Queensland Australia,-27.4517481,153.0589126
450,2070 New South Wales Australia,-33.7785908,151.1665377
451,3192 Victoria Australia,-37.964155,145.0658766
452,2291 New South Wales Australia,-32.9497012,151.744414
453,2487 New South Wales Australia,-28.2768342,153.5452038
454,4120 Queensland Australia,-27.5070097,153.0479859
455,4154 Queensland Australia,-27.486707,153.161976
456,2529 New South Wales Australia,-34.5971935,150.8551207
457,2430 New South Wales Australia,-31.92251319999999,152.4973826
458,4031 Queensland Australia,-27.4076416,153.0294751
459,2321 New South Wales Australia,-32.6916544,151.4435474
460,2079 New South Wales Australia,-33.6709087,151.125756
461,3087 Victoria Australia,-37.7019248,145.0851764
462,3011 Victoria Australia,-37.7960195,144.9006313
463,2620 New South Wales Australia,-35.631888,149.0123679
464,2571 New South Wales Australia,-34.2011979,150.6401218
465,3022 Victoria Australia,-37.7776716,144.7988921
466,3131 Victoria Australia,-37.8239091,145.1762197
467,3041 Victoria Australia,-37.7306079,144.9006313
468,4519 Queensland Australia,-26.8507005,152.8970569
469,3561 Victoria Australia,-36.3317046,144.6533747
470,4506 Queensland Australia,-27.133839,152.9264759
471,2106 New South Wales Australia,-33.6566564,151.3122727
472,2315 New South Wales Australia,-32.7344109,152.151274
473,3911 Victoria Australia,-38.1972006,145.1762197
474,4164 Queensland Australia,-27.5671583,153.2621415
475,3027 Victoria Australia,-37.8614859,144.7439497
476,4343 Queensland Australia,-27.5635723,152.2799511
477,3796 Victoria Australia,-37.7791563,145.3917982
478,4030 Queensland Australia,-27.4230215,153.0340375
479,3189 Victoria Australia,-37.9403568,145.0576067
480,2232 New South Wales Australia,-34.0311029,151.0646032
481,3161 Victoria Australia,-37.8712631,145.0190242
482,4032 Queensland Australia,-27.3847107,153.023588
483,2449 New South Wales Australia,-30.61332359999999,152.6853649
484,4514 Queensland Australia,-26.9550035,152.7779946
485,3840 Victoria Australia ,-38.2671612,146.4495924
486,4401 Queensland Australia,-27.3203817,151.7473377
487,2575 New South Wales Australia,-34.358075,150.3500838
488,2774 New South Wales Australia,-33.7266709,150.6168974
489,4512 Queensland Australia,-27.014804,152.8499952
490,2116 New South Wales Australia,-33.8124093,151.0384023
491,2225 New South Wales Australia,-34.0016599,151.0791612
492,2195 New South Wales Australia,-33.9235692,151.0733379
493,3051 Victoria Australia,-37.7983816,144.9419122
494,3042 Victoria Australia,-37.7245197,144.8758725
495,4800 Queensland Australia,-20.4049878,148.5807213
496,3939 Victoria Australia,-38.4218526,144.8951287
497,3807 Victoria Australia,-38.0347309,145.3862638
498,4883 Queensland Australia,-17.2661339,145.4858493
499,3171 Victoria Australia,-37.94733069999999,145.1541397
500,2228 New South Wales Australia,-34.03825,151.1024569
501,3137 Victoria Australia,-37.8253798,145.3198788
502,3066 Victoria Australia,-37.8009595,144.9873447
503,3067 Victoria Australia,-37.8023601,144.9983623
504,4860 Queensland Australia,-17.5226829,146.0278258
505,4726 Queensland Australia,-22.9708603,145.242794
506,3442 Victoria Australia,-37.33247739999999,144.5437205
507,2159 New South Wales Australia,-33.5876386,151.0704263
508,2146 New South Wales Australia,-33.7915266,150.9569167
509,3250 Victoria Australia,-38.3313559,143.5852111
510,2327 New South Wales Australia,-32.83126130000001,151.4844099
511,3173 Victoria Australia,-38.0042683,145.1706992
512,3106 Victoria Australia,-37.7537669,145.1486206
513,4037 Queensland Australia,-27.3392025,152.9353024
514,3115 Victoria Australia,-37.7347069,145.2590707
515,2085 New South Wales Australia,-33.7293236,151.2044159
516,3134 Victoria Australia,-37.7900435,145.2424941
517,2071 New South Wales Australia,-33.7632319,151.1665377
518,2194 New South Wales Australia,-33.91057840000001,151.1024569
519,4128 Queensland Australia,-27.6519632,153.1737578
520,2848 New South Wales Australia,-32.9298576,149.956588
521,2446 New South Wales Australia,-31.4267124,152.3565156
522,4153 Queensland Australia,-27.511066,153.1354693
523,4508 Queensland Australia,-27.1859323,153.0206446
524,2705 New South Wales Australia,-34.4808824,146.3376699
525,2256 New South Wales Australia,-33.5117779,151.2568777
526,2219 New South Wales Australia,-33.9946489,151.1315813
527,4455 Queensland Australia,-26.5713754,148.7871121
528,4341 Queensland Australia,-27.6849335,152.333048
